Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"Aberdeen, SD Micro Area",42112,2576,2801,2945,2767,2917,2396,2571,3148,2086,2204,2389,2542,3158,2690,1680,1148,1119,975,38.2,97.6,22300,8137,3457,4426,2773,3507,70761,92189
"Aberdeen, WA Micro Area",76397,3610,3877,4936,4444,3529,4287,4641,4859,4317,4461,4487,5231,6280,5802,5302,2869,2050,1415,44.7,105.4,29889,9057,6419,6001,3655,4757,63539,82333
"Abilene, TX Metro Area",178244,11431,11484,11911,13196,17055,13122,12507,11590,11194,8670,9262,9596,9849,9008,6709,4592,3345,3723,34.4,103.5,79704,28824,15330,16934,8969,9647,66464,85850
"Ada, OK Micro Area",38158,2479,2789,2721,2470,2474,2437,2500,2478,2500,2147,2066,1984,2634,1849,1820,1165,859,786,37.5,95.8,17552,7003,2577,3725,2109,2138,62564,79510
"Adrian, MI Micro Area",98823,4994,5531,6054,6511,6219,5605,5766,6302,5683,5915,6626,6479,7479,6487,5406,3747,1943,2076,42.2,102.9,43982,14005,8320,8057,4278,9322,67013,83678
"Aguadilla, PR Metro Area",252430,7841,10484,14077,14764,16226,16554,14769,13738,16979,16170,16863,17366,18571,16082,15417,11499,8598,6432,45.2,94.0,77598,21877,17523,19523,8571,10104,20800,32182
"Akron, OH Metro Area",699508,35981,40128,39972,44276,49053,46253,44878,42331,41604,39972,45492,47883,50874,43447,35558,21467,14136,16203,40.8,95.5,352709,142589,58720,73206,25391,52803,71312,97914
"Alamogordo, NM Micro Area",68235,4155,4554,3838,4348,5983,5333,5011,4193,4067,3295,3611,4167,3957,3972,2957,2149,1274,1371,36.3,110.2,24036,7899,5317,4987,3752,2081,52717,71241
"Alamosa, CO Micro Area",27622,1582,1854,1956,2348,2162,1683,1869,2081,1346,1181,1261,1502,1842,1835,1297,857,466,500,36.0,98.9,12477,4347,2278,2947,1650,1255,48011,69691
"Albany, GA Metro Area",146768,9138,9652,10419,10356,9922,9138,9348,9406,8543,8439,9139,9131,9358,8433,6885,4364,2500,2597,38.2,89.8,60581,22528,9930,12943,5313,9867,54219,72897
"Albany, OR Metro Area",129794,7389,7843,8467,7780,7213,8776,8868,8234,8250,7450,7594,7947,9105,8032,7080,4369,2477,2920,40.2,99.8,58767,20167,10185,11815,6387,10213,73396,87810
"Albany-Schenectady-Troy, NY Metro Area",902372,44425,48922,49400,60853,68557,57804,58604,57159,55530,52168,58029,62537,62580,51992,46729,29174,18181,19728,40.5,96.9,455608,221257,70339,91945,28713,43354,86072,110831
"Albemarle, NC Micro Area",63557,3568,4099,3673,3923,3646,4008,4391,4033,3294,3819,4254,4224,4523,3764,3312,1933,1556,1537,40.6,100.5,28418,8848,4719,5505,4029,5317,61631,80577
"Albert Lea, MN Micro Area",30752,1605,1623,2279,1834,1496,1642,1762,1778,1739,1617,1817,2050,2504,2095,1749,993,958,1211,43.9,101.7,14776,4797,2479,2896,1539,3065,69012,90460
"Albertville, AL Micro Area",98712,7177,6218,7682,6926,5616,5865,6046,5458,6257,5694,6310,6385,6322,5021,4986,3151,2069,1529,38.6,98.8,41813,14133,6595,7883,4720,8482,60946,82099
"Albuquerque, NM Metro Area",918567,46282,52525,58740,59241,56460,61868,65451,63661,59831,53851,54286,56427,62636,56506,45399,28247,18516,18640,39.6,97.3,428298,190192,76031,86539,35496,40040,67995,91376
"Alexander City, AL Micro Area",41070,2140,2619,2206,2303,2045,2439,2352,2076,2190,2328,2772,3455,2803,2973,2640,1824,1129,776,45.4,94.6,16460,4477,2803,3968,1857,3355,57185,75764
"Alexandria, LA Metro Area",150593,9607,9542,11215,9873,8933,9769,10202,10054,9553,8682,8853,9947,9518,8471,6393,4681,2826,2474,37.9,98.6,62667,20765,12905,12857,7697,8443,56492,79230
"Alexandria, MN Micro Area",39354,2261,2585,2198,2201,1927,2119,2154,2056,2555,1973,2271,2480,3174,2905,2329,1826,1215,1125,44.3,101.8,19699,7464,2981,3856,1674,3724,77264,99168
"Alice, TX Micro Area",45850,2805,3466,3598,3105,3009,3229,2912,3714,2258,2557,2552,2397,2827,2194,2053,1313,791,1070,35.7,99.6,18664,5284,4487,3624,3094,2175,45939,67139
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,44724,46679,54939,58098,54414,51248,54710,53528,53889,51996,57236,60362,61582,51880,43006,28788,18084,21601,41.4,97.9,428874,169939,69045,84397,33832,71661,82602,109410
"Alma, MI Micro Area",41478,2019,2350,2266,2870,3439,2713,2691,2638,2874,2365,2620,2444,2937,2364,1752,1232,929,975,39.7,117.8,17173,5380,3489,3587,1755,2962,61128,81865
"Alpena, MI Micro Area",28908,1331,1447,1607,1590,1346,1596,1601,1610,1557,1642,1751,2008,2747,2418,1722,1217,801,917,47.6,99.7,11970,3829,2666,2274,1389,1812,51909,72874
"Altoona, PA Metro Area",121854,6073,6683,7583,8066,6297,6971,7773,7218,7214,7102,7725,7914,9471,7831,7172,4685,2811,3265,42.9,97.6,56533,19886,10171,11794,5334,9348,60594,80522
"Altus, OK Micro Area",24730,1743,2178,1326,1564,2009,1724,1831,1716,1446,1272,1226,1464,1413,1136,1098,805,270,509,35.0,101.7,10641,3663,1883,1793,1643,1659,61497,78383
"Amarillo, TX Metro Area",270207,17174,18688,20239,19775,17892,18058,18827,18940,18749,15577,15104,14769,15661,13342,11113,7147,4770,4382,36.3,101.5,126873,42982,24049,26913,14154,18775,66571,91194
"Americus, GA Micro Area",33713,1906,2381,2107,2707,3047,2058,1784,1613,2084,2048,2095,1752,2391,1859,1556,1118,627,580,37.8,87.7,14585,5278,2400,2874,1351,2682,42821,64209
"Ames, IA Metro Area",125261,5554,6374,5981,14259,21467,9019,7092,7046,6524,5698,5450,6328,6462,5836,4932,2770,2157,2312,30.0,108.2,66717,29855,11653,12506,5069,7634,71090,95624
"Amherst Town-Northampton, MA Metro Area",156595,5187,6559,6806,17572,20479,7966,7763,7927,8308,7899,8973,10070,10815,9788,8915,5394,3125,3049,38.7,87.9,79837,39870,14079,14091,4674,7123,86391,114325
"Amsterdam, NY Micro Area",49461,3049,2866,3435,3276,2607,2885,3195,3364,2650,2808,3057,3387,3506,3077,2463,1517,974,1345,40.1,98.8,22798,7718,3744,4496,2346,4494,62923,79106
"Anchorage, AK Metro Area",399746,25820,28423,26923,25523,27474,30830,32805,30323,26556,23458,23238,23689,24035,20693,13200,8448,4860,3448,35.4,105.8,189255,77738,32557,37804,19695,21461,95918,123232
"Anderson Creek, NC Micro Area",136503,9624,9584,10322,8924,8048,9854,10925,10612,8670,8179,8137,7514,7810,6331,4801,3107,2121,1940,35.4,98.4,55181,19743,8682,11030,6795,8931,69012,84184
"Andrews, TX Micro Area",18518,1503,1574,1685,1225,1432,1078,1484,1764,995,1015,903,833,1237,527,621,257,240,145,33.1,96.6,8934,2457,1596,1673,1842,1366,76902,102475
"Angola, IN Micro Area",34648,1689,1762,2056,2795,2581,1758,1824,1505,1940,1904,2245,2423,2780,2298,2213,1224,788,863,43.6,108.0,16605,4673,2657,3330,1588,4357,71483,92694
"Ann Arbor, MI Metro Area",368394,17119,17596,20402,32504,45105,27996,24302,22590,21315,20171,21305,20390,21355,18699,15199,10113,6575,5658,34.8,99.5,187381,107580,26583,28930,7962,16326,87156,122847
"Anniston-Oxford, AL Metro Area",116141,6504,6330,7411,8905,8364,7273,7365,7127,6856,6891,7021,7629,7526,7289,5532,4245,2122,1751,39.0,93.6,48859,15858,8512,9710,4444,10335,55826,71879
"Appleton, WI Metro Area",244163,13823,16498,15714,15960,14194,15094,15949,17783,15032,14637,16023,17965,16068,13379,10696,6162,4684,4502,39.3,101.3,131767,51469,17276,26007,11865,25150,83919,109841
"Arcadia, FL Micro Area",34719,1729,1308,1959,2044,2084,2273,2426,2535,1875,1860,2274,2066,2032,2424,2126,1820,948,936,42.8,122.3,12919,3112,2874,2566,3041,1326,50868,63257
"Ardmore, OK Micro Area",48255,3193,3088,3738,3133,2823,3164,3038,3066,3091,2793,2856,2795,3312,2728,2157,1381,1016,883,38.3,95.1,21283,6764,3668,4042,2433,4376,58856,79874
"Arecibo, PR Metro Area",181380,5738,7510,10003,10659,11694,12407,11381,10045,11210,11705,12556,12850,12023,10995,10465,8373,6857,4909,45.0,90.9,58929,15812,11550,15425,6852,9290,24436,34474
"Arkadelphia, AR Micro Area",21378,1069,1035,1398,2464,3035,1186,1151,1147,935,1095,1015,1220,1158,1238,790,705,454,283,31.9,91.3,9650,2891,2399,1735,909,1716,50985,67510
"Arkansas City-Winfield, KS Micro Area",34487,1872,1999,2849,2730,2301,1768,1991,2407,1865,2015,1850,2019,2352,2069,1547,1133,749,971,38.1,103.6,15226,5232,2900,2443,1739,2912,58263,77057
"Asheville, NC Metro Area",410817,18883,21274,21175,23131,20868,24942,27017,26222,27465,25609,26075,28027,28000,27891,26490,16798,10112,10838,43.8,93.8,195538,80557,36472,37986,19219,21304,69236,95191
"Ashland, OH Micro Area",52296,2795,3068,3638,3613,3246,3038,2928,2976,2975,2908,3416,3030,4184,3446,2603,1678,1441,1313,41.4,99.3,24603,7485,3781,4807,2466,6064,64991,79889
"Astoria, OR Micro Area",41343,1908,1882,2566,1929,1965,2167,2949,2807,2428,2276,2387,2320,3713,3225,3260,1908,799,854,45.2,99.8,18394,6101,4084,4344,2028,1837,68705,92615
"Atchison, KS Micro Area",16211,874,1028,954,1901,1502,886,745,816,893,804,860,1066,1019,957,638,560,384,324,36.4,94.8,7828,2799,1670,1675,724,960,62164,78019
"Athens, OH Micro Area",61573,2300,2170,2837,7948,9961,3637,3743,3271,3321,2967,3245,4067,3053,2888,2906,1574,643,1042,32.8,100.0,28676,11901,6498,4865,2127,3285,53837,75116
"Athens, TN Micro Area",67211,3518,3976,4088,4108,3753,3998,3715,3620,4030,4258,4752,5039,4693,4574,3571,2740,1571,1207,43.0,97.2,28080,8408,3841,5300,3093,7438,59361,76272
"Athens, TX Micro Area",83658,4621,4868,5171,5168,4618,4620,4690,3871,5177,4667,5229,5520,6711,5827,5211,3103,2542,2044,43.8,97.4,35175,11603,6645,7060,4677,5190,63955,85410
"Athens-Clarke County, GA Metro Area",218190,10962,12339,12551,20061,28115,15209,14240,13298,13229,11994,12115,11990,11101,10508,8676,5860,3040,2902,33.2,93.0,105955,47503,18288,19637,7425,13102,62897,91841
"Atlanta-Sandy Springs-Roswell, GA Metro Area",6176937,364051,397822,438330,435878,398035,431442,442138,434998,426277,422394,426540,398870,352935,283226,223566,142892,83119,74424,37.0,94.3,3123977,1407030,438674,654067,229685,394521,86338,118625
"Atlantic City-Hammonton, NJ Metro Area",369940,18461,19999,22332,21801,21933,21495,20945,21174,19129,20626,24329,26315,31280,26583,21096,14840,9696,7906,44.4,94.7,173038,65815,41627,35710,14018,15868,80600,109764
"Auburn, IN Micro Area",43584,2824,2766,3061,2905,2481,2747,2726,3005,2296,2647,2809,3184,2722,2509,1991,1420,792,699,38.4,99.6,21631,6658,2802,3571,1697,6903,70080,85064
"Auburn, NY Micro Area",75464,3656,3935,4352,4449,4094,4695,4697,4532,4530,4217,4977,5632,6189,4961,4307,2935,1584,1722,43.7,105.1,35263,12472,6812,6447,3883,5649,66583,86559
"Auburn-Opelika, AL Metro Area",196614,10646,10835,11930,18296,23371,13629,12600,11924,11563,11320,11256,11186,11161,9099,7599,5026,2399,2774,33.8,96.3,90436,40023,15534,16449,6272,12158,58991,84331
"Augusta-Richmond County, GA-SC Metro Area",618022,36860,39073,41200,40570,39670,41479,43394,41299,38069,35303,36734,39288,40629,35838,28417,18115,11285,10799,38.2,95.4,270385,100922,50076,53048,25746,40593,66628,89237
"Augusta-Waterville, ME Micro Area",125614,5951,7084,6540,7800,7465,7079,7578,7427,7543,7150,8535,9878,9468,9015,6904,4414,3033,2750,44.0,95.9,60740,26116,9124,12285,6282,6933,65062,85256
"Austin, MN Micro Area",40069,2612,2849,2928,2614,2519,2320,2315,2537,2831,2239,2043,2353,2521,2432,1664,1315,936,1041,38.9,101.0,19473,6099,3053,2979,2268,5074,71495,91617
"Austin-Round Rock-San Marcos, TX Metro Area",2357497,137579,143060,150790,152640,157302,191993,210365,198958,184711,160850,145974,126566,121244,96010,79963,46651,26832,26009,35.9,102.0,1290400,675964,167230,251332,88492,107382,97638,132189
"Bainbridge, GA Micro Area",29118,1961,1795,2156,1822,2008,1855,1622,1798,2166,1318,1838,1888,1997,1813,1055,704,596,726,38.7,93.2,11003,3180,1966,2254,1186,2417,50485,67257
"Baker City, OR Micro Area",16796,765,973,1105,731,687,827,967,889,1004,870,914,979,1442,1324,1396,791,510,622,47.6,110.0,6433,2599,1308,1026,657,843,57844,79903
"Bakersfield-Delano, CA Metro Area",910433,65691,71981,79503,70981,63467,68935,69008,62844,57996,50886,48863,48799,45826,37890,27641,18650,10760,10712,32.4,103.9,362655,107460,67739,67039,64954,55463,67660,91401
"Baltimore-Columbia-Towson, MD Metro Area",2839409,165329,171566,183243,179097,167336,188269,206682,201135,182751,168115,181872,190556,189620,152847,123317,81340,52701,53633,38.9,93.4,1434072,733484,209435,264545,93424,133184,97300,128719
"Bangor, ME Metro Area",153571,6718,8002,7526,10220,10258,9457,10123,9317,9326,9068,10131,11514,11568,10310,8179,5253,3139,3462,42.5,98.8,74573,29257,14011,15724,7633,7948,63248,84825
"Baraboo, WI Micro Area",65759,3690,4079,4348,3967,3414,3661,3871,4544,4039,3773,4148,4917,4593,3982,3621,2042,1328,1742,41.3,100.8,34413,12157,5945,6577,3574,6160,77648,95062
"Barnstable Town, MA Metro Area",230073,7953,9013,9600,10520,10975,10405,10477,10903,10331,10339,14249,19121,21953,23195,19560,13560,8387,9532,55.1,93.0,113261,50298,20633,21734,11705,8891,94452,132436
"Barre, VT Micro Area",59958,2517,3023,3405,3798,3303,3354,3726,3955,3595,3601,4119,4332,4628,4289,3418,1912,1510,1473,43.7,99.3,31451,15419,4382,5758,3363,2529,79853,102667
"Bartlesville, OK Micro Area",52895,3154,3524,3763,3564,3021,2906,3315,3590,2962,2921,3038,3078,3467,3726,2068,1931,1366,1501,39.4,97.2,22988,8938,4097,4466,2099,3388,61205,86952
"Batavia, NY Micro Area",57943,3002,3069,3627,3302,3171,3646,3739,3677,3198,3301,3879,4288,4675,4106,2458,1977,1319,1509,42.4,101.6,28683,9809,4989,5584,3686,4615,72055,86260
"Batesville, AR Micro Area",38120,2342,2348,2956,2766,2345,1998,2347,2691,2019,2346,2266,2498,2526,2358,1526,1348,608,832,39.0,99.9,16523,4685,2770,3301,2450,3317,56009,77283
"Baton Rouge, LA Metro Area",871379,54110,56771,59039,61833,72130,60389,58730,61195,55051,48806,49951,50474,53216,46733,34191,23624,13016,12120,36.0,96.2,401569,161701,65278,81972,41252,51366,68910,95375
"Battle Creek, MI Metro Area",133846,7782,8576,8842,8959,7983,8309,8293,7856,8375,7811,8458,8911,9307,8516,6268,4165,2996,2439,40.2,97.3,58971,19199,10249,10999,5022,13502,60385,80429
"Bay City, MI Metro Area",103235,4873,5647,5887,6175,5505,6357,6159,5706,6700,5911,6863,7120,8325,6955,6196,3994,2532,2330,43.8,98.2,48149,15686,8651,11008,4754,8050,60523,77994
"Bay City, TX Micro Area",36274,2622,2324,2867,2225,2160,2100,2556,2431,1829,1812,2012,2239,2610,2013,1920,1230,819,505,37.5,99.0,15152,4136,2723,2590,3030,2673,55174,73895
"Beatrice, NE Micro Area",21646,1179,1285,1571,1331,1091,1022,1165,1370,1203,1202,1277,1606,1609,1384,1175,804,605,767,42.8,102.4,10744,3505,2085,1793,1143,2218,64426,82250
"Beaumont-Port Arthur, TX Metro Area",396058,25833,28342,27576,25518,24009,26385,27249,25879,27244,23294,23307,24166,25356,20647,16527,11001,6937,6788,37.6,103.0,166237,53642,30769,33776,21827,26223,65245,88239
"Beaver Dam, WI Micro Area",88818,4052,4589,5375,5506,4930,5376,5388,5923,5647,5476,6229,7060,6869,5265,4524,2376,2126,2107,42.9,111.5,46272,14070,6956,8482,5127,11637,73992,88987
"Beckley, WV Metro Area",113653,5628,6773,7116,6570,6058,6360,6747,6899,7276,7408,6978,7227,7689,7714,7596,4458,2729,2427,43.3,100.6,41753,14272,8838,8638,5316,4689,52345,69028
"Bedford, IN Micro Area",45077,2491,2421,2855,2877,2409,2653,2468,2494,2790,2784,3116,3148,3535,2758,2543,1693,1021,1021,43.5,97.5,21701,7135,3227,4078,2321,4940,65551,78119
"Beeville, TX Micro Area",31000,1572,1656,1981,1802,2494,2976,2662,2706,2409,1992,1660,1825,1359,1391,960,690,365,500,35.8,163.4,10966,3188,2479,2206,1429,1664,56075,71739
"Bellefontaine, OH Micro Area",46140,2654,2851,3141,2905,2382,2643,2726,2462,3110,2693,2980,3566,3267,3218,2269,1373,1099,801,42.1,101.2,21836,6799,3492,3501,1861,6183,69183,90992
"Bellingham, WA Metro Area",228432,10797,12495,12335,14732,22680,16170,15366,14982,14116,12630,12883,12648,14343,13716,12299,7858,4251,4131,38.2,98.5,113292,46894,20688,20770,10855,14085,80989,105948
"Bemidji, MN Micro Area",46421,3039,3275,3296,3724,4192,2799,2776,3154,2248,2219,2273,2494,3052,2790,1940,1093,1006,1051,35.1,101.6,21756,7928,4654,4464,2174,2536,67257,87814
"Bend, OR Metro Area",253650,12448,14047,14483,13384,12239,15210,17493,17409,17106,16213,15535,16243,18141,18013,15857,9767,5385,4677,42.9,99.6,123144,52825,20150,26277,11118,12774,85509,115603
"Bennington, VT Micro Area",37312,1652,1742,2323,2371,2285,1839,1889,2083,1844,1897,2544,2250,3728,2763,2387,1623,829,1263,46.6,94.5,17930,8083,2793,3631,1495,1928,71494,102609
"Big Rapids, MI Micro Area",40321,2080,2207,2139,2943,4172,2186,2105,2088,2117,1987,2319,2939,2906,2889,2119,1544,929,652,40.6,99.5,17125,5568,3271,3078,1933,3275,57774,70726
"Big Spring, TX Micro Area",33127,1985,2317,1909,2353,1800,2394,2578,2710,2587,1999,2445,1788,1933,1580,1068,734,467,480,37.0,128.9,13661,4750,2588,2261,1857,2205,71457,91958
"Billings, MT Metro Area",187269,10383,12528,12200,11482,10425,12157,12741,12321,12369,10519,10797,11666,12613,11437,9701,6201,3520,4209,39.7,98.6,94576,36857,16705,19870,10784,10360,74599,102275
"Binghamton, NY Metro Area",245844,12179,12351,14806,18416,22622,14166,13113,14429,12584,12465,14136,16344,18657,14970,12583,9023,5865,7135,40.4,98.2,108752,44912,20365,21461,7993,14021,63347,86679
"Birmingham, AL Metro Area",1181432,69672,74254,79547,77365,72281,77292,80478,75341,77894,73142,74202,74894,76257,68359,52529,34342,23304,20279,39.0,93.3,546581,225775,82499,113786,47529,76992,69627,98127
"Bishop, CA Micro Area",18803,933,1022,1188,953,810,1061,965,1053,1296,1089,1081,884,1874,1574,979,871,612,558,45.6,103.5,8502,3469,1737,1906,808,582,72432,93044
"Bismarck, ND Metro Area",134286,8193,8443,9766,8601,8159,8558,9675,9664,8792,7216,6999,7694,9220,7823,5760,4010,2773,2940,38.0,100.9,69702,29500,12122,13733,6993,7354,83982,108756
"Blackfoot, ID Micro Area",48993,3438,3798,4631,3876,3169,2849,2832,2955,3538,2819,2384,2792,2654,2848,1654,1109,848,799,34.8,100.8,22100,7143,3697,3945,3334,3981,76842,96148
"Blacksburg-Christiansburg-Radford, VA Metro Area",181605,7479,8059,8672,19026,25528,11205,10968,9887,9147,9483,10799,10704,10494,9151,8827,5903,3369,2904,34.9,101.3,85554,37135,15113,15377,6491,11438,64627,86124
"Bloomington, IL Metro Area",170882,9384,9512,11294,14701,20299,11185,10587,10450,10700,9371,9584,9865,9665,8135,6679,4054,2861,2556,34.2,95.7,86270,40716,13710,18006,5126,8712,78329,103921
"Bloomington, IN Metro Area",161256,6971,7448,7547,18595,21951,11942,10041,10071,8118,7793,8499,9173,8709,7550,7034,4458,2508,2848,33.2,99.8,80039,37171,13708,13136,5641,10383,62949,86593
"Bloomsburg-Berwick, PA Micro Area",65055,2739,2918,3610,5426,6524,3591,3491,3067,3994,3668,3976,4282,4611,4383,3449,2198,1287,1841,41.4,93.7,30169,10283,5787,5181,3314,5604,61992,79343
"Bluefield, WV-VA Micro Area",98995,4997,6385,5473,5675,5721,5418,5606,5621,5740,6189,6278,6116,7147,6894,6464,4346,2485,2440,44.0,94.5,36854,12351,6634,7470,3986,6413,46906,67282
"Blytheville, AR Micro Area",39749,2791,3057,2708,2723,2543,2673,2531,2259,2632,2316,2245,2769,2453,2292,1462,1153,535,607,36.9,96.9,17127,4718,2645,3146,1956,4662,53428,76088
"Bogalusa, LA Micro Area",45238,2878,2927,3033,2764,2630,2812,2596,2520,3289,2733,2574,3040,3055,2920,2140,1344,1006,977,41.0,100.3,16114,4907,3393,3281,2025,2508,42776,64790
"Boise City, ID Metro Area",790640,45060,51478,57223,56084,49108,53539,54689,55389,54591,48951,47659,47216,45826,40297,35953,23062,13152,11363,37.4,101.0,393380,167326,60045,80583,42415,43011,82694,110044
"Bonham, TX Micro Area",36525,1814,2316,2209,2310,2016,2373,2306,2615,2404,2281,2308,2463,2608,1919,1901,1174,837,671,40.7,114.8,15570,5579,2424,3051,2147,2369,68377,94746
"Boone, NC Micro Area",54607,1623,2062,1827,7574,10326,2948,2620,2592,2518,2578,2675,2799,3327,3344,2229,1900,904,761,32.2,99.5,26623,10627,5855,5532,2067,2542,51367,78984
"Borger, TX Micro Area",20413,1163,1386,1594,1613,1256,1014,1524,1300,1288,964,1077,1468,1217,1445,742,486,388,488,38.1,104.3,9041,2793,1156,1751,1493,1848,65470,84741
"Boston-Cambridge-Newton, MA-NH Metro Area",4917661,249514,257198,277335,317143,336550,363835,365723,338733,308768,295774,325091,341970,321525,267783,215033,141840,90419,103427,39.3,95.7,2673516,1442846,390727,465261,161943,212739,112484,155005
"Boulder, CO Metro Area",328317,13135,16050,18029,28658,33335,22833,21838,20884,20544,20400,20807,20673,19264,17462,14777,8475,5298,5855,37.5,101.9,177426,101922,24232,29629,8620,13023,102772,144869
"Bowling Green, KY Metro Area",183194,11376,11794,12021,13626,17518,12456,11844,11278,11346,10731,10645,10900,10803,8580,7809,5058,2953,2456,35.6,98.0,87886,30023,15136,18231,7790,16706,62437,83598
"Bozeman, MT Metro Area",122194,5861,6476,7118,8897,14677,10849,9229,8795,8518,6851,6175,5774,6744,5468,5087,2656,1570,1449,33.8,109.8,70355,31270,11857,12283,8014,6931,87454,124551
"Bradford, PA Micro Area",40149,1810,2168,2321,2863,2389,2183,2319,2335,2177,2562,2757,2872,3158,2532,2302,1480,1070,851,43.8,107.0,17560,5559,3238,3201,1856,3706,61705,79327
"Brainerd, MN Micro Area",97801,4841,5654,5996,5494,4340,4972,4922,5692,5342,4991,5689,6923,8703,7860,6500,4471,2746,2665,46.7,101.6,44513,16422,8247,8984,4795,6065,69311,90554
"Branson, MO Micro Area",56382,2858,3553,3162,3964,4025,3206,3095,2699,3323,3175,3372,3436,3937,3718,3602,2422,1406,1429,42.0,94.1,25938,8661,5200,6592,2381,3104,58258,78210
"Brattleboro, VT Micro Area",45913,1775,1976,2580,2723,2669,2301,2412,2852,2474,2425,2839,3597,3965,3779,3362,2008,1026,1150,47.3,98.0,23444,10085,3869,3750,2892,2848,68021,93317
"Breckenridge, CO Micro Area",38268,1459,1793,2073,1959,1772,3456,3901,3371,2816,2836,2340,2325,2453,2358,1908,821,410,217,38.8,117.4,23777,9931,5016,3902,2948,1980,102233,132737
"Bremerton-Silverdale-Port Orchard, WA Metro Area",276581,14671,15393,15721,14887,19485,19980,20072,18478,17545,14790,15969,18392,18333,17380,15157,10276,5308,4744,39.9,105.6,121151,52196,20175,22531,12716,13533,98546,125517
"Brenham, TX Micro Area",36156,1886,2415,2084,2764,2412,2117,1786,2042,1726,1582,2356,2044,2891,2663,1886,1460,1053,989,40.9,97.4,16740,6466,2815,3205,1840,2414,75085,101919
"Brevard, NC Micro Area",33243,1324,1565,1382,1771,1668,1495,1831,1524,1739,1701,1862,2234,2900,2737,2830,2226,1329,1125,51.9,93.9,14317,5485,2926,3002,1594,1310,64523,86211
"Bridgeport-Stamford-Danbury, CT Metro Area",947528,50630,56065,62118,66015,58715,53275,55744,59014,62685,61670,68517,69032,66867,51968,38337,27238,18277,21361,41.0,96.5,485624,237918,76562,97126,34457,39561,111656,184106
"Brigham City, UT-ID Micro Area",64406,4757,5333,6024,5227,4161,4064,3933,4471,4310,3728,3044,3358,3414,3275,1873,1434,1060,940,33.4,104.2,29739,10059,4521,5185,3599,6375,77315,93366
"Brookhaven, MS Micro Area",34830,1971,2349,2206,2257,2051,2006,2155,1740,2712,2293,2258,2473,2324,2078,1641,1248,665,403,41.2,92.2,14115,4861,1948,2733,2049,2524,48316,68516
"Brookings, OR Micro Area",23463,782,958,1269,504,759,1058,1080,940,1248,978,1358,1591,2593,2888,2121,1659,774,903,57.2,95.7,8557,2866,2038,1622,1126,905,64769,84162
"Brookings, SD Micro Area",34968,2010,2177,1912,3972,5846,2484,1997,2043,1846,1433,1402,1503,1696,1550,1197,940,469,491,28.0,104.4,19065,8471,2710,3211,1624,3049,67341,87946
"Brownsville-Harlingen, TX Metro Area",423192,30688,33969,36253,36214,31998,28459,25851,23118,26698,25562,23427,21426,20098,18476,15597,11517,7071,6770,32.4,97.2,172143,52059,43463,36046,19210,21365,51334,70034
"Brownwood, TX Micro Area",38294,1980,1884,2540,2652,2559,1946,2289,2752,1937,2220,2336,2582,2746,2552,1994,1299,879,1147,41.4,100.2,16899,5217,2969,3322,2261,3130,55305,77845
"Brunswick-St. Simons, GA Metro Area",114345,5645,5847,7864,6952,6024,6541,6657,6644,6712,6632,7452,8062,8021,8222,6643,5055,2648,2724,43.6,90.8,48723,16684,10259,10596,4989,6195,64819,91096
"Bucyrus, OH Micro Area",41767,2361,2377,2741,2547,2342,2379,2376,2232,2445,2583,2845,2799,3044,2922,2136,1486,1024,1128,43.3,97.2,19159,5546,3194,3206,2070,5143,55477,72825
"Buffalo-Cheektowaga, NY Metro Area",1161385,61130,66991,65225,71002,72242,77007,81174,75617,65572,63085,73774,83459,83818,74188,56775,36671,25263,28392,40.7,95.1,564976,240433,94793,123228,37501,69021,70572,93629
"Burley, ID Micro Area",47087,3538,3617,4554,3703,3078,3057,2782,2883,3054,2378,2353,2310,2887,2305,1779,1357,838,614,33.5,105.4,21858,6574,3304,3362,3731,4887,68214,87283
"Burlington, IA-IL Micro Area",44881,2450,2662,2690,2878,2521,2408,2576,2528,2777,2455,2701,3003,3410,3154,2563,1653,925,1527,43.0,97.9,21391,7178,3600,4322,1785,4506,61453,80725
"Burlington, NC Metro Area",174286,9957,10304,11678,13222,11672,10741,11393,10990,10034,10467,11451,11884,10979,9743,7615,5114,3720,3322,38.7,92.0,83828,30287,14021,18046,8139,13335,64445,82268
"Burlington-South Burlington, VT Metro Area",226603,10423,11305,12240,17524,20032,16256,14944,15438,13721,12721,13936,14165,15975,13301,9715,6223,4751,3933,38.3,97.8,125354,63792,17433,23057,9352,11720,90911,115591
"Butte-Silver Bow, MT Micro Area",35589,1993,1947,2190,2175,2901,2370,2046,2065,2243,1991,1939,1978,2902,2617,1555,1286,745,646,40.3,107.2,16004,5456,2968,3961,2019,1600,57504,77994
