Area,Total Population,Age Under 5,Age 5-9,Age 10-14,Age 15-19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85 and Over,Median Age,Sex Ratio (Males per 100 Females),Civilian Employed Total,"Occ. Management, Business, Science, Arts",Occ. Services,Occ. Sales and Office,"Occ. Natural Resources, Construction, Maintenance","Occ. Production, Transportation, Material Moving",Median HH Income,Mean HH Income
"New York-Newark-Jersey City, NY-NJ Metro Area",19756722,1138243,1127423,1220606,1177678,1181227,1401521,1445439,1350521,1284491,1237773,1309339,1341946,1262700,1041020,847073,577224,388765,423733,39.4,95.0,9731475,4594405,1732181,1865963,620377,918549,97334,144032
"Niles, MI Metro Area",153411,8289,9511,9293,9570,8808,8520,8889,8571,9589,8628,9695,10250,11848,10420,8523,4864,3570,4573,42.6,96.8,70170,26625,12340,14031,5945,11229,63152,88982
"Nogales, AZ Micro Area",48209,3063,3272,3968,3623,2982,2918,2767,3035,2408,2650,2709,2718,2973,2664,2657,1778,1196,828,37.9,93.3,18876,4784,3814,5171,1930,3177,53614,70629
"Norfolk, NE Micro Area",48682,3346,3605,3300,3417,2827,2824,2934,3161,2835,2536,2602,3128,3510,3143,1798,1133,1115,1468,38.2,99.5,25015,8360,4067,4683,2976,4929,66629,89286
"North Platte, NE Micro Area",34934,1965,2243,2323,2453,1614,1906,1886,2181,2166,2087,2185,1734,3018,2415,1789,1088,1022,859,42.4,99.4,17138,5433,2833,3562,2086,3224,64652,79073
"North Port-Bradenton-Sarasota, FL Metro Area",865031,33204,35949,41938,39890,37842,39232,41006,40624,42435,44053,51944,60849,71109,74679,72726,62855,38037,36659,53.6,93.1,365668,144386,69690,84611,32074,34907,78278,114208
"North Wilkesboro, NC Micro Area",65983,3270,3426,3986,3822,3788,3794,3517,2858,4294,4211,4421,5039,4576,4713,3916,2769,1505,2078,45.3,98.7,28715,8221,5458,5235,2989,6812,50438,66225
"Norwalk, OH Micro Area",58412,3403,3664,4276,3986,3271,3413,3507,3489,3510,3429,3808,3825,4208,3564,3012,1872,1013,1162,40.4,98.7,27415,8235,3802,4786,3443,7149,65972,79750
"Norwich-New London-Willimantic, CT Metro Area",279025,13480,13724,17087,18101,19509,18464,18107,18006,15066,15434,18106,20896,19902,17241,13849,9314,6159,6580,41.0,100.3,135498,58038,28314,23964,10851,14331,84185,108630
"Oak Harbor, WA Micro Area",86747,4285,4048,4484,4155,5779,5632,5445,5501,4613,3832,4453,5106,6774,7544,6115,4444,2551,1986,44.5,101.3,33269,13462,5498,6470,3498,4341,88358,110452
"Ocala, FL Metro Area",387697,18319,18965,22744,19719,18454,20474,21796,21342,19032,19802,22122,27005,26467,31015,29025,23305,15268,12843,48.2,93.3,148029,47283,30252,36260,14067,20167,58535,77453
"Ocean Pines, MD Micro Area",53279,2152,2320,2983,2648,2660,2602,2568,2757,2702,2854,3301,3872,4841,4784,3758,2719,1919,1839,50.7,95.2,25012,10487,5634,5186,2238,1467,81455,115398
"Odessa, TX Metro Area",163206,14115,14952,12925,11703,11442,12834,13452,12618,10275,8749,8578,7996,7529,5531,4358,3198,1415,1536,31.3,105.6,75536,19670,10003,16467,13752,15644,71031,92177
"Ogden, UT Metro Area",645510,45904,53031,56559,51271,44059,46171,45651,48138,46586,39118,33029,31712,31006,25430,19804,13161,8104,6776,32.8,102.8,323244,136519,43872,70400,29370,43083,98361,119397
"Oil City, PA Micro Area",50096,2434,2588,2765,2724,2379,2438,2579,2906,2670,2886,3289,3777,4526,4052,3258,2103,1468,1254,47.6,99.2,21496,6570,4162,4231,2075,4458,61626,76779
"Okeechobee, FL Micro Area",40249,2326,2194,2480,2614,1974,2478,2558,2808,2557,2347,2443,2561,2837,2296,1966,1616,1384,810,40.7,117.2,15169,4242,3819,2918,2554,1636,52288,72468
"Oklahoma City, OK Metro Area",1445122,90369,97919,102624,102073,106393,102397,103631,102945,95620,83843,80825,83949,82997,69845,58249,37477,23933,20033,35.8,97.9,694967,284224,110524,148339,68052,83828,70499,95891
"Olean, NY Micro Area",76479,4235,5080,4427,5197,4623,4044,4303,4221,4287,4293,4878,5047,6342,5251,4186,2531,1725,1809,42.5,100.4,32715,10886,6330,6159,3892,5448,58248,73744
"Olympia-Lacey-Tumwater, WA Metro Area",296640,16139,17762,18109,16525,16675,20644,21806,21388,21082,17706,17714,17120,19646,17518,16065,9675,5497,5569,39.8,96.8,135842,60697,21570,28015,11008,14552,93985,111383
"Omaha, NE-IA Metro Area",972840,64493,69368,70562,66712,59759,66885,68662,69278,66243,57099,56522,57164,59359,48368,38613,23439,15210,15104,36.5,99.6,505378,224551,73994,103405,43111,60317,83023,111142
"Oneonta, NY Micro Area",59738,2401,2274,2809,5994,7010,2971,3004,3156,2694,2864,3463,4113,4285,4065,3470,2393,1316,1456,40.4,94.6,26622,10193,5372,5178,2815,3064,67086,90189
"Ontario, OR-ID Micro Area",57891,3678,4079,4403,4336,3148,3780,3769,3509,3368,3343,3241,3054,3730,3911,2170,1819,1269,1284,37.6,111.2,22988,7317,4093,3531,3438,4609,59225,74570
